name,brand,barcode,category,calories,proteins,carbs,fats,fiber,sodium,sugar,saturated_fats,cholesterol,allergens,vegan,vegetarian,gluten_free,dairy_free
"Whole Wheat Flour","Bob's Red Mill","070617101234","Grains",364,13.2,72.6,2.5,10.7,2,0.3,0.4,0,"gluten",true,true,false,true
"2% Milk","Dairy Fresh","012345678901","Dairy",50,3.4,4.8,2.0,0,47,4.8,1.3,8,"dairy",false,true,true,false
"Extra Virgin Olive Oil","Bertolli","8001090301234","Oils",884,0,0,100,0,0,0,14,0,"",true,true,true,true
"Free Range Eggs","Happy Hens","123456789012","Proteins",155,13,1.1,11,0,124,1.1,3.3,373,"eggs",false,true,true,true
"Organic Quinoa","Ancient Harvest","089125120015","Grains",368,14.1,64.2,6.1,7,5,0,0.7,0,"",true,true,true,true
"Almond Butter","Justin's","894455000018","Nuts & Seeds",614,21,21,52,10,0,3,4,0,"nuts",true,true,true,true
"Greek Yogurt Plain","Chobani","818290013315","Dairy",100,10,4,5,0,40,4,3,15,"dairy",false,true,true,false
"Wild Salmon Fillet","Ocean Fresh","","Seafood",206,22,0,13,0,46,0,3,55,"fish",false,false,true,true
"Organic Tofu","Nasoya","025800000123","Proteins",70,8,2,4,1,5,0,0.5,0,"soy",true,true,true,true
"Dark Chocolate 70%","Lindt","037466012346","Sweets",579,5.4,46,38,8,6,29,22,0,"dairy,soy",false,true,true,false
